,Accident_Index_x,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Accident_Index_y,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,city
1682569,201511NH25925,417794.0,554794.0,-1.724143,54.887579,11,3,2,1,2015-12-12,7,15:00,169,E06000047,4,6173,6,30,6,4,5,127,0,0,1,6,3,0,0,2,2,E01020677,201205EE05846,1,1,3,1,52,8,2,1,1,0,0,0,0,1,
1682657,201511NI25935,410452.0,550497.0,-1.838748,54.849171,11,3,2,2,2015-12-12,7,13:00,169,E06000047,6,0,6,30,3,4,6,0,0,0,1,3,3,0,0,1,2,E01020644,201205EE06196,2,1,1,2,31,6,3,0,0,0,0,0,9,-1,
1682658,201511NI25985,413344.0,551660.0,-1.793656,54.859554,11,3,2,1,2015-12-13,1,16:30,169,E06000047,3,692,6,60,0,-1,-1,0,0,0,6,2,3,0,0,2,1,E01020669,201205EE06196,2,2,2,1,31,6,3,0,0,1,0,0,9,-1,
1682828,201511SC25915,402196.0,514857.0,-1.96758,54.52899,11,3,1,2,2015-12-12,7,11:43,169,E06000047,3,67,6,60,0,-1,-1,0,0,0,1,3,3,0,0,2,1,E01020863,201205FF01595,1,1,2,2,15,3,3,0,0,0,2,0,11,1,
1682829,201511SC25965,401283.0,522444.0,-1.981657,54.597176,11,3,2,2,2015-12-13,1,18:35,169,E06000047,4,6278,6,60,0,-1,-1,0,0,0,6,7,2,0,0,2,1,E01020857,201205FF01601,2,1,1,1,61,9,3,0,0,0,0,0,1,1,
1683114,201511SK26795,421795.0,525668.0,-1.663947,54.625685,11,3,2,1,2015-12-12,7,13:30,169,E06000047,3,6072,6,60,0,-1,-1,0,0,0,1,3,3,0,0,2,1,E01020802,201205FF04052,1,1,2,1,30,6,3,0,0,0,3,0,11,-1,
1685140,2015120220054,382246.0,465922.0,-2.272913,54.088896,12,3,1,1,2015-12-12,7,09:50,180,E10000023,4,6479,6,40,0,-1,-1,0,0,0,1,4,2,0,0,2,1,E01027572,201206F061050,1,1,1,2,36,7,3,0,0,0,0,0,9,1,Craven
1685141,2015120220123,411432.0,463586.0,-1.82681,54.068087,12,2,1,2,2015-12-12,7,10:40,182,E10000023,5,270,6,60,8,4,6,0,0,0,1,3,3,0,0,2,1,E01027693,201206F061050,2,2,1,2,23,5,3,0,0,0,0,0,9,2,
1685142,2015120220147,384659.0,462369.0,-2.235842,54.057042,12,3,1,1,2015-12-12,7,10:37,180,E10000023,5,390,6,60,0,-1,-1,0,0,0,1,3,3,0,0,2,2,E01027573,201206F061081,2,1,1,1,42,7,3,0,0,0,0,0,90,1,Craven
1685143,2015120220154,485701.0,498439.0,-0.682222,54.374257,12,3,1,1,2015-12-12,7,13:01,186,E10000023,3,169,6,60,0,-1,-1,0,0,0,1,6,3,0,0,2,1,E01027821,201206F061090,2,2,1,2,30,6,3,0,0,0,0,0,9,1,
1685144,2015120220289,443258.0,493061.0,-1.336297,54.33129,12,3,2,1,2015-12-12,7,12:59,181,E10000023,3,19,3,70,0,-1,-1,0,0,0,1,3,3,0,0,2,1,E01027613,201206F061090,3,1,1,1,30,6,3,0,0,0,0,0,9,1,Hambleton
1685145,2015120220296,427309.0,455813.0,-1.584908,53.997635,12,3,1,2,2015-12-12,7,15:20,182,E10000023,4,6161,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01027722,201206F061214,2,1,1,1,30,6,3,0,0,0,0,0,1,1,
1685146,2015120220311,489020.0,510883.0,-0.627414,54.485491,12,3,2,1,2015-12-12,7,16:45,186,E10000023,6,0,6,30,0,-1,-1,0,0,0,4,5,2,0,0,1,2,E01027837,201206F061221,2,1,1,2,36,7,3,0,0,0,0,0,9,1,
1685147,2015120220345,430141.0,455108.0,-1.541779,53.991142,12,3,3,2,2015-12-12,7,17:50,182,E10000023,3,61,2,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01027679,201206F061229,2,1,1,1,14,3,3,0,0,0,0,0,1,1,
1685148,2015120220606,445909.0,436818.0,-1.304039,53.825611,12,2,2,3,2015-12-12,7,22:13,187,E10000023,4,1217,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01027904,201206F061258,2,1,1,2,32,6,3,0,0,0,0,0,1,1,Selby
1685152,2015120221115,462014.0,429629.0,-1.060849,53.759337,12,3,1,1,2015-12-13,1,21:30,187,E10000023,3,1041,6,60,0,-1,-1,0,0,0,6,7,2,0,0,2,1,E01027882,201206F061471,1,1,3,2,15,3,3,1,3,0,0,0,0,1,Selby
1685155,2015120221647,400279.0,452504.0,-1.997235,53.96861,12,3,2,1,2015-12-12,7,18:20,180,E10000023,3,65,6,60,3,4,3,6131,0,0,6,1,2,0,0,2,1,E01027576,201206F061538,1,1,1,2,61,9,2,0,0,0,0,0,9,1,Craven
1690222,2015132CC0066,429432.0,433462.0,-1.554664,53.796638,13,3,3,1,2015-12-12,7,00:39,204,E08000035,6,0,3,30,3,2,6,0,0,0,4,1,1,0,0,1,1,E01033015,2012070070092,2,2,1,2,30,6,3,0,0,0,0,0,9,1,Leeds
1690223,2015132CC0300,406814.0,433477.0,-1.898034,53.797556,13,3,1,2,2015-12-12,7,04:30,200,E08000032,3,629,6,30,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01010595,2012070070092,2,3,2,2,0,1,3,0,0,2,0,0,9,1,Bradford
1690225,2015132CC0588,426145.0,435591.0,-1.604384,53.815948,13,3,2,2,2015-12-12,7,11:20,204,E08000035,4,6157,6,30,3,2,6,0,0,0,1,2,2,0,0,1,1,E01011477,2012070070288,2,1,1,2,27,6,3,0,0,0,0,0,4,1,Leeds
1690226,2015132CC0687,431803.0,433161.0,-1.518701,53.793794,13,3,2,1,2015-12-12,7,12:30,204,E08000035,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,2,E01033021,2012070070431,2,1,1,2,30,6,3,0,0,0,0,0,9,1,Leeds
1690227,2015132CC0693,419030.0,437108.0,-1.712353,53.82989,13,3,1,1,2015-12-12,7,12:50,200,E08000032,3,658,9,20,3,4,6,0,0,1,1,2,2,0,0,1,1,E01010654,2012070070557,2,1,1,1,45,7,2,0,0,0,0,0,1,2,Bradford
1690228,2015132CC0864,418255.0,430796.0,-1.7245,53.773186,13,3,3,1,2015-12-12,7,14:35,200,E08000032,3,650,3,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01010614,2012070070621,2,1,1,1,19,4,3,0,0,0,0,0,2,1,Bradford
1690229,2015132CC0878,428749.0,426005.0,-1.565724,53.729655,13,3,2,3,2015-12-12,7,14:45,204,E08000035,3,650,6,30,0,-1,-1,0,0,0,1,5,2,0,0,1,1,E01011552,2012070070777,1,1,1,1,70,10,3,0,0,0,0,0,1,1,Leeds
1690230,2015132CC0961,416612.0,433734.0,-1.749271,53.799648,13,3,2,1,2015-12-12,7,15:48,200,E08000032,6,0,6,30,6,4,3,6181,0,0,1,2,2,0,0,1,1,E01033693,2012070070780,2,1,1,1,39,7,3,0,0,0,0,0,3,3,Bradford
1690231,2015132CC1022,423584.0,427734.0,-1.643878,53.745453,13,3,1,1,2015-12-12,7,16:12,203,E08000034,6,0,9,20,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01011050,2012070070848,2,1,1,1,56,9,3,0,0,0,0,0,1,1,Kirklees
1690232,2015132CC1104,431920.0,420356.0,-1.518242,53.678699,13,3,1,1,2015-12-12,7,16:50,206,E08000036,3,638,6,30,0,-1,-1,0,0,4,4,2,2,0,0,1,2,E01011919,2012070070961,1,1,1,2,83,11,3,0,0,0,0,0,9,2,Wakefield
1690233,2015132CC1169,419325.0,427771.0,-1.708453,53.74596,13,3,1,1,2015-12-12,7,17:30,203,E08000034,1,62,3,70,0,-1,-1,0,0,0,4,5,2,0,0,2,1,E01011057,2012070070969,1,1,1,1,72,10,3,0,0,0,0,0,9,1,Kirklees
1690234,2015132CC1203,417652.0,433518.0,-1.733494,53.797672,13,2,2,1,2015-12-12,7,17:51,200,E08000032,4,6381,6,30,0,-1,-1,0,0,0,5,2,2,4,0,1,1,E01010607,2012070070969,2,2,1,1,49,8,3,0,0,0,0,0,3,1,Bradford
1690235,2015132CC1312,442158.0,443130.0,-1.360155,53.882655,13,3,1,1,2015-12-12,7,18:55,204,E08000035,6,0,6,40,0,-1,-1,0,0,0,1,5,2,0,0,2,2,E01011712,2012070071073,2,1,1,1,46,8,3,0,0,0,0,0,5,1,Leeds
1690236,2015132CC1359,417664.0,434840.0,-1.733237,53.809554,13,3,2,1,2015-12-12,7,19:35,200,E08000032,6,0,6,30,3,4,3,6177,0,0,4,1,2,0,0,1,1,E01010828,2012070071155,1,1,1,1,71,10,2,0,0,0,0,0,1,1,Bradford
1690237,2015132CD0019,431307.0,428718.0,-1.52668,53.753892,13,3,2,1,2015-12-13,1,00:05,204,E08000035,6,0,9,20,0,-1,-1,0,0,0,7,1,1,0,0,1,2,E01011466,2012070071182,1,1,3,2,12,3,3,5,1,0,0,0,0,1,Leeds
1690238,2015132CD0162,429788.0,433696.0,-1.549237,53.798721,13,3,1,1,2015-12-13,1,01:39,204,E08000035,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01033008,2012070071187,2,1,1,1,42,7,3,0,0,0,0,0,9,1,Leeds
1690239,2015132CD0494,418534.0,430570.0,-1.72028,53.771145,13,3,2,2,2015-12-12,7,16:00,200,E08000032,3,650,6,30,3,4,6,0,0,0,4,1,2,0,0,1,2,E01010822,2012070071405,1,1,1,1,29,6,3,0,0,0,0,0,19,1,Bradford
1690240,2015132CD0714,414137.0,416831.0,-1.787613,53.647796,13,3,2,2,2015-12-12,7,14:50,203,E08000034,3,62,3,30,0,-1,-1,0,0,0,1,2,2,0,0,1,2,E01011236,2012070071405,2,2,1,1,23,5,3,0,0,0,0,0,9,1,Kirklees
1690241,2015132CD0774,424343.0,422046.0,-1.632815,53.694295,13,3,1,1,2015-12-13,1,13:40,203,E08000034,3,638,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01033542,2012070071405,2,5,2,1,25,5,3,0,0,1,0,0,9,1,Kirklees
1690242,2015132CD0931,409021.0,411436.0,-1.865161,53.599417,13,3,2,1,2015-12-13,1,14:30,203,E08000034,4,6107,6,30,0,-1,-1,0,0,0,1,1,2,0,0,2,2,E01011177,2012070071405,3,3,1,1,58,9,3,0,0,0,0,0,9,1,Kirklees
1690243,2015132CD0974,414829.0,422948.0,-1.776855,53.702757,13,3,2,1,2015-12-13,1,15:32,202,E08000033,3,641,3,30,3,2,3,641,0,0,1,2,2,0,0,1,1,E01010878,2012070071405,3,4,2,1,52,8,3,0,0,1,0,0,9,1,Calderdale
1690244,2015132CD1020,411980.0,415687.0,-1.820288,53.637567,13,3,2,3,2015-12-13,1,16:16,203,E08000034,3,62,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01011149,2012070071442,2,1,1,1,30,6,3,0,0,0,0,0,9,1,Kirklees
1690245,2015132CD1049,415407.0,437530.0,-1.767377,53.833802,13,3,2,1,2015-12-13,1,16:29,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01010782,2012070071442,2,2,2,2,26,6,3,0,0,1,0,0,9,1,Bradford
1690246,2015132CD1068,422502.0,413580.0,-1.661305,53.618285,13,3,2,1,2015-12-13,1,16:48,203,E08000034,6,0,6,30,6,3,6,0,0,0,6,7,2,3,0,2,1,E01011109,2012070071442,2,3,2,1,2,1,3,0,0,2,0,0,9,1,Kirklees
1690247,2015132CD1094,425387.0,423701.0,-1.61687,53.709121,13,3,2,1,2015-12-13,1,17:08,203,E08000034,4,6128,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01011014,2012070071771,2,1,1,1,52,8,3,0,0,0,0,0,9,1,Kirklees
1690248,2015132CD1209,438952.0,431558.0,-1.410385,53.778903,13,3,2,2,2015-12-13,1,18:47,204,E08000035,3,642,6,60,3,4,6,0,0,0,6,7,2,0,0,2,1,E01011402,2012070071877,1,1,1,1,53,8,3,0,0,0,0,0,19,1,Leeds
1690249,2015132CD1218,414656.0,432487.0,-1.779027,53.788498,13,3,1,1,2015-12-13,1,19:01,200,E08000032,3,6177,6,30,3,4,6,0,0,1,1,1,2,0,0,1,1,E01010837,2012070072035,1,1,1,1,72,10,3,0,0,0,0,0,9,1,Bradford
1690250,2015132CD1381,420239.0,445372.0,-1.693443,53.904119,13,3,1,1,2015-12-13,1,21:25,204,E08000035,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01011569,2012070072055,2,1,1,2,37,7,3,0,0,0,0,0,9,1,Leeds
1690262,2015132CE1219,413625.0,434360.0,-1.794593,53.80536,13,2,1,1,2015-12-12,7,16:30,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010810,2012070073173,2,1,1,1,36,7,3,0,0,0,0,0,9,1,Bradford
1690298,2015132CG0682,434615.0,424259.0,-1.477011,53.713607,13,3,1,1,2015-12-12,7,16:15,206,E08000036,6,0,6,30,0,-1,-1,0,0,0,4,5,2,0,0,1,2,E01011878,2012070075147,1,1,1,1,72,10,1,0,0,0,0,0,5,1,Wakefield
1691292,201514A185315,459959.0,403887.0,-1.096969,53.528232,14,3,2,1,2015-12-12,7,12:13,211,E08000017,6,0,6,20,6,4,6,0,0,8,1,2,2,0,0,1,1,E01007564,2012070163829,2,1,1,1,33,6,3,0,0,0,0,0,9,1,Doncaster
1691295,201514A186315,454454.0,410545.0,-1.178847,53.588668,14,3,2,2,2015-12-13,1,14:05,211,E08000017,6,0,6,30,3,4,6,0,0,0,1,9,1,0,0,1,1,E01007473,2012070164387,2,1,1,2,21,5,3,0,0,0,0,0,9,1,Doncaster
1691326,201514A194915,457513.0,403447.0,-1.133944,53.52455,14,3,1,1,2015-12-13,1,08:00,211,E08000017,6,0,6,20,3,4,6,0,0,0,1,2,2,0,0,1,1,E01007655,2012070166454,2,2,2,2,12,3,3,0,0,1,0,0,9,1,Doncaster
1691810,201514B115615,439598.0,401816.0,-1.40436,53.511542,14,3,1,1,2015-12-12,7,11:30,210,E08000016,3,6195,3,70,0,-1,-1,0,0,0,1,2,5,0,2,2,1,E01007456,2012070215729,2,1,1,1,51,8,3,0,0,0,0,0,9,1,
1691811,201514B115915,431467.0,405239.0,-1.526621,53.542856,14,3,2,1,2015-12-12,7,16:55,210,E08000016,4,6449,6,30,6,3,4,6099,0,1,4,2,2,0,0,1,1,E01007382,2012070215869,1,1,1,1,48,8,3,0,0,0,0,0,9,3,
1691812,201514B116015,434306.0,400883.0,-1.484257,53.503527,14,3,2,2,2015-12-12,7,10:52,210,E08000016,1,1,3,70,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01007399,2012070215869,2,2,1,2,30,6,3,0,0,0,0,0,9,1,
1691814,201514B116615,436884.0,405231.0,-1.444882,53.542433,14,3,1,1,2015-12-12,7,16:25,210,E08000016,4,6100,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01007317,2012070215869,3,3,1,1,19,4,3,0,0,0,0,0,9,1,
1691815,201514B116715,436855.0,405647.0,-1.44527,53.546174,14,3,2,1,2015-12-13,1,13:00,210,E08000016,3,635,7,30,6,4,6,0,0,0,1,1,1,0,0,1,2,E01007320,2012070215871,1,1,1,1,35,6,3,0,0,0,0,0,9,1,
1691829,201514B120815,441134.0,410765.0,-1.380025,53.591856,14,2,2,1,2015-12-12,7,17:00,210,E08000016,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,2,1,E01007328,2012070216969,1,3,3,2,14,3,3,6,9,0,0,0,0,1,
1692369,201514C134515,442222.0,392727.0,-1.366012,53.429648,14,3,2,1,2015-12-12,7,17:59,213,E08000018,6,0,6,40,5,4,3,630,0,0,4,2,2,0,0,1,1,E01007716,2012070280667,1,1,3,1,53,8,3,9,5,0,0,0,0,1,Rotherham
1692374,201514C135015,445242.0,390957.0,-1.320817,53.413489,14,3,2,1,2015-12-13,1,18:15,213,E08000018,3,631,1,40,1,4,3,631,0,0,4,2,2,0,0,1,1,E01007711,2012070282952,1,1,1,2,32,6,3,0,0,0,0,0,9,2,Rotherham
1692376,201514C135715,443599.0,392451.0,-1.345327,53.427055,14,3,1,1,2015-12-12,7,14:00,213,E08000018,3,6021,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01007767,2012070283013,2,2,2,2,33,6,3,0,0,1,0,0,9,1,Rotherham
1692380,201514C136915,450272.0,381307.0,-1.246681,53.326303,14,3,1,1,2015-12-12,7,23:00,213,E08000018,6,0,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01007753,2012070283113,2,2,1,1,22,5,3,0,0,0,0,0,9,1,Rotherham
1693481,201514K316415,436542.0,382498.0,-1.452673,53.338131,14,3,2,3,2015-12-13,1,12:40,215,E08000019,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,2,2,E01008078,2012100000612,1,1,1,1,13,3,2,0,0,0,0,0,1,1,Sheffield
1693482,201514K317215,434860.0,386110.0,-1.477536,53.370709,14,3,1,1,2015-12-12,7,04:35,215,E08000019,4,6388,6,30,3,4,6,0,0,0,4,9,1,0,0,1,1,E01033271,2012100000612,2,2,1,1,29,6,3,0,0,0,0,0,9,-1,Sheffield
1693483,201514K317315,435396.0,389337.0,-1.46912,53.399679,14,3,3,2,2015-12-13,1,02:09,215,E08000019,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01007870,2012100000812,1,1,1,1,40,7,3,0,0,0,0,0,9,1,Sheffield
1693490,201514K320215,435063.0,386578.0,-1.474433,53.374902,14,3,1,1,2015-12-12,7,06:15,215,E08000019,6,0,2,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01033274,2012100001112,1,1,1,2,51,8,3,0,0,0,0,0,9,3,Sheffield
1693493,201514K320615,435822.0,389612.0,-1.462682,53.402122,14,2,1,1,2015-12-13,1,12:45,215,E08000019,3,6135,6,30,0,-1,-1,0,0,4,1,2,2,0,0,1,1,E01007870,2012100001412,1,1,2,2,9,2,3,0,0,2,0,0,9,-1,Sheffield
1693513,201514K328115,439814.0,384157.0,-1.403329,53.352807,14,3,1,1,2015-12-12,7,03:15,215,E08000019,5,405,6,30,0,-1,-1,0,0,0,4,8,2,0,0,1,1,E01007839,2012100004212,1,2,2,1,34,6,3,0,0,1,0,0,9,1,Sheffield
1693517,201514K328615,438352.0,391209.0,-1.424438,53.416299,14,3,1,1,2015-12-13,1,13:00,215,E08000019,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01007854,2012100005012,2,1,2,1,48,8,3,0,0,2,0,0,9,1,Sheffield
1693534,201514K331815,437901.0,385538.0,-1.431902,53.365359,14,3,3,2,2015-12-13,1,16:42,215,E08000019,6,0,6,30,6,4,6,0,0,0,4,2,2,0,0,1,1,E01008012,2012100008112,1,1,3,1,21,5,3,6,9,0,0,0,0,1,Sheffield
1693557,201514K339615,434075.0,387248.0,-1.489211,53.380989,14,3,1,1,2015-12-13,1,03:04,215,E08000019,3,57,3,30,3,2,4,6069,0,0,4,2,2,0,0,1,1,E01008068,2012100012812,2,1,1,2,55,8,3,0,0,0,0,0,9,2,Sheffield
1693984,2015160A04491,528924.0,409759.0,-0.054673,53.568605,16,3,2,3,2015-12-12,7,13:15,233,E06000012,6,0,6,30,6,4,6,0,0,0,1,2,2,0,0,1,1,E01013196,2012100083612,2,1,1,2,50,8,3,0,0,0,0,0,9,1,
1694415,2015160B04381,510189.0,410701.0,-0.337105,53.581333,16,3,1,1,2015-12-13,1,06:55,232,E06000013,6,0,6,60,0,-1,-1,0,0,0,6,7,4,0,0,2,1,E01013309,2012100156712,2,2,1,1,62,9,3,0,0,0,0,0,21,1,West Lindsey
1694416,2015160B04391,514206.0,418498.0,-0.273603,53.650524,16,3,1,1,2015-12-13,1,00:38,232,E06000013,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01013308,2012100157712,1,1,3,1,46,8,3,9,8,0,0,0,0,1,
1694418,2015160B04421,494858.0,415302.0,-0.56719,53.625669,16,3,2,4,2015-12-12,7,13:46,232,E06000013,4,1207,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,2,E01013274,2012100157912,1,2,2,2,16,4,3,0,0,1,0,0,9,-1,
1695165,2015160C07441,474284.0,456401.0,-0.868297,53.99831,16,3,2,2,2015-12-12,7,05:30,231,E06000011,3,166,6,60,3,4,6,0,0,0,6,1,2,0,0,2,1,E01013126,2012100285212,1,1,1,1,76,11,2,0,0,0,0,0,9,1,
1695166,2015160C07451,487893.0,431661.0,-0.667837,53.773879,16,3,2,2,2015-12-13,1,09:25,231,E06000011,4,1230,6,60,8,4,6,0,0,0,1,7,2,0,0,2,1,E01013019,2012100285212,2,2,1,1,74,10,2,0,0,0,0,0,9,3,
1695885,2015160D07041,512064.0,432073.0,-0.301087,53.772947,16,3,3,1,2015-12-12,7,14:40,228,E06000010,6,0,6,30,1,4,6,0,0,1,1,2,2,0,0,1,1,E01012812,2012100402612,2,1,1,1,13,3,2,0,0,0,0,0,1,1,Hull
1695950,2015160D07761,506647.0,431371.0,-0.383487,53.767776,16,2,4,2,2015-12-13,1,22:42,228,E06000010,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01012792,2012100414712,1,1,3,1,30,6,3,5,2,0,0,0,0,1,Hull
1695965,2015160D07921,511274.0,430317.0,-0.313701,53.75734,16,3,1,1,2015-12-13,1,21:37,228,E06000010,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01012806,2012100415712,2,2,1,2,37,7,3,0,0,0,0,0,9,1,Hull
1696521,2015170M13425,449365.0,520403.0,-1.237846,54.576437,17,3,2,1,2015-12-12,7,16:50,243,E06000002,6,0,6,20,3,4,6,0,0,0,4,2,2,0,0,1,2,E01012068,2012100509212,1,1,2,2,32,6,3,0,0,1,0,0,9,-1,
1696599,2015170M33105,448928.0,513860.0,-1.24569,54.517684,17,3,1,2,2015-12-13,1,10:10,243,E06000002,5,117,6,40,3,4,6,0,0,0,1,1,4,0,0,2,1,E01032552,2012100519612,2,1,1,2,20,4,3,0,0,0,0,0,9,1,
1696856,2015170S23135,445474.0,525989.0,-1.29717,54.626997,17,3,2,2,2015-12-13,1,13:10,245,E06000004,3,689,3,50,1,4,3,1185,0,0,1,1,1,0,0,2,1,E01012297,2012100566012,1,1,1,2,29,6,3,0,0,0,0,0,19,1,
1697503,2015200036034,406071.0,288385.0,-1.912012,52.493343,20,3,2,1,2015-12-12,7,22:40,300,E08000025,3,4540,1,30,1,4,6,0,0,0,4,2,2,0,0,1,1,E01033638,2012100679912,2,2,1,1,31,6,3,0,0,0,0,0,19,1,Birmingham
1697520,2015200036171,410247.0,290086.0,-1.850454,52.508573,20,2,1,1,2015-12-12,7,02:10,300,E08000025,6,0,3,40,0,-1,-1,0,0,0,4,8,2,0,0,1,1,E01009401,2012100684912,2,2,1,1,36,7,3,0,0,0,0,0,9,2,Birmingham
1697526,2015200036220,407806.0,290477.0,-1.88641,52.512128,20,3,2,1,2015-12-13,1,20:03,300,E08000025,4,4137,1,30,1,4,3,4040,0,1,4,1,2,0,0,1,2,E01009053,2012100687312,2,1,1,1,31,6,3,0,0,0,0,0,9,1,Birmingham
1697535,2015200036295,419625.0,283059.0,-1.712695,52.445146,20,3,3,1,2015-12-12,7,23:17,306,E08000029,3,45,3,40,0,-1,-1,0,0,0,4,2,2,0,0,2,1,E01010109,2012100688412,1,2,2,2,49,8,3,0,0,1,0,0,9,1,
1697543,2015200036418,394240.0,290323.0,-2.0863,52.510766,20,3,1,1,2015-12-12,7,21:23,303,E08000027,4,4176,6,30,6,4,4,4177,0,0,4,2,2,0,0,1,1,E01009881,2012100690112,1,1,1,2,31,6,3,0,0,0,0,0,9,1,
1697550,2015200036507,393678.0,297579.0,-2.094721,52.57599,20,3,2,2,2015-12-13,1,18:20,309,E08000031,6,0,6,30,3,4,6,0,0,0,4,8,2,0,0,1,1,E01010442,2012100691712,1,1,1,1,43,7,3,0,0,0,0,0,9,-1,Wolverhampton
1697552,2015200036524,405601.0,286161.0,-1.918971,52.473354,20,3,2,1,2015-12-12,7,16:30,300,E08000025,6,0,1,30,1,2,3,4540,0,0,4,2,2,0,0,1,2,E01033639,2012100691912,2,1,1,1,17,4,3,0,0,0,0,0,3,1,Birmingham
1697557,2015200036557,430775.0,279426.0,-1.548988,52.411975,20,3,2,1,2015-12-12,7,18:25,302,E08000026,4,4106,3,30,3,2,6,0,0,0,4,2,2,0,0,1,2,E01009685,2012100692612,1,1,1,1,19,4,3,0,0,0,0,0,9,1,Coventry
1697565,2015200036599,402249.0,298299.0,-1.968241,52.582497,20,3,2,1,2015-12-13,1,11:43,307,E08000030,6,0,6,30,6,4,6,0,0,0,1,2,2,0,0,1,1,E01010327,2012100692912,2,1,1,1,66,10,3,0,0,0,0,0,1,2,
1697573,2015200036656,399858.0,301713.0,-2.003531,52.613192,20,3,1,1,2015-12-12,7,16:00,307,E08000030,6,0,7,30,6,2,6,0,0,5,4,5,2,0,0,1,2,E01010292,2012100695212,1,1,3,2,51,8,3,5,1,0,0,0,0,-1,
1697574,2015200036658,403490.0,281251.0,-1.950099,52.42923,20,3,2,1,2015-12-13,1,17:30,300,E08000025,3,38,3,30,3,4,6,0,0,0,4,1,1,0,0,1,2,E01008950,2012100696112,1,1,3,1,47,8,3,10,9,0,0,0,0,-1,Birmingham
1697577,2015200036672,406138.0,288186.0,-1.911029,52.491553,20,3,2,3,2015-12-12,7,22:34,300,E08000025,4,4100,6,30,6,2,6,0,0,0,4,2,2,0,0,1,1,E01033559,2012100696312,2,2,2,2,25,5,3,0,0,1,0,0,9,-1,Birmingham
1697581,2015200036690,395087.0,300034.0,-2.073967,52.598075,20,3,2,1,2015-12-12,7,17:54,309,E08000031,3,4124,6,30,3,2,4,4484,2,5,4,2,2,0,0,1,1,E01010564,2012100696712,1,1,1,2,52,8,1,0,0,0,0,0,9,3,Wolverhampton
1697583,2015200036700,391038.0,298045.0,-2.13369,52.580142,20,3,1,1,2015-12-13,1,21:52,309,E08000031,3,4150,1,40,1,2,6,0,0,0,4,8,2,0,0,1,1,E01010463,2012100697212,1,1,3,2,26,6,3,5,3,0,0,0,0,3,Wolverhampton
1697588,2015200036718,401854.0,297921.0,-1.974072,52.5791,20,3,2,1,2015-12-13,1,15:55,307,E08000030,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,2,E01010370,2012100698112,2,2,2,1,24,5,3,0,0,1,0,0,9,1,
1697603,2015200036920,413182.0,283919.0,-1.807453,52.45307,20,3,2,1,2015-12-12,7,18:30,300,E08000025,6,0,6,30,0,-1,-1,0,0,0,4,2,2,0,1,1,1,E01008891,2012100701112,4,1,1,1,27,6,3,0,0,0,0,0,1,1,Birmingham
